satisfaction_result,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Online Booking,Gate location,Food and drink,Online Check-in,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes
neutral or dissatisfied,Female,Frequent Flyer,23,Personal Travel,Eco,1642,4,5,4,3,5,4,2,5,3,2,5,4,4,5,6
neutral or dissatisfied,Male,Frequent Flyer,35,Personal Travel,Eco,1142,3,5,3,2,5,3,4,5,5,3,4,2,4,5,0
neutral or dissatisfied,Female,Frequent Flyer,45,Personal Travel,Eco,327,3,0,3,2,4,5,4,5,5,3,5,3,5,5,0
neutral or dissatisfied,Male,Frequent Flyer,62,Personal Travel,Eco,502,2,4,2,3,5,2,5,5,5,4,4,4,4,5,73
neutral or dissatisfied,Male,Infrequent Flyer,27,Business travel,Business,157,1,1,1,4,5,1,5,5,3,3,4,3,4,5,0
neutral or dissatisfied,Male,Infrequent Flyer,32,Business travel,Business,759,3,3,3,2,5,3,5,5,5,2,5,4,4,5,15
neutral or dissatisfied,Female,Infrequent Flyer,38,Business travel,Business,1605,3,3,3,2,2,3,2,2,4,2,4,3,5,2,2
neutral or dissatisfied,Female,Infrequent Flyer,26,Business travel,Eco,453,2,0,2,1,2,2,2,2,1,3,2,2,1,2,5
neutral or dissatisfied,Male,Infrequent Flyer,27,Business travel,Business,1721,3,3,3,5,4,3,4,4,3,3,4,5,5,4,0
neutral or dissatisfied,Male,Frequent Flyer,17,Business travel,Eco,175,4,2,2,2,4,4,2,4,1,4,3,2,4,4,0
neutral or dissatisfied,Female,Infrequent Flyer,37,Business travel,Business,936,3,3,3,3,3,3,3,3,3,3,3,4,4,3,0
neutral or dissatisfied,Female,Frequent Flyer,45,Personal Travel,Eco,997,2,5,2,4,2,4,4,2,2,2,2,3,2,5,13
neutral or dissatisfied,Female,Frequent Flyer,27,Personal Travel,Eco,101,4,5,4,1,3,4,3,3,5,2,4,5,4,3,0
neutral or dissatisfied,Female,Frequent Flyer,70,Personal Travel,Eco,377,1,5,1,1,5,5,4,2,2,1,3,4,2,3,16
neutral or dissatisfied,Male,Infrequent Flyer,27,Business travel,Eco,813,3,3,3,3,2,3,2,2,1,5,3,3,4,2,17
neutral or dissatisfied,Female,Frequent Flyer,63,Business travel,Eco Plus,1947,1,5,5,5,3,1,3,1,1,1,1,3,1,1,0
neutral or dissatisfied,Female,Frequent Flyer,67,Personal Travel,Eco,261,2,1,2,3,3,3,4,5,5,2,5,3,5,3,54
neutral or dissatisfied,Male,Frequent Flyer,55,Personal Travel,Eco,237,4,5,4,3,4,4,2,4,5,4,5,4,4,4,10
neutral or dissatisfied,Male,Frequent Flyer,60,Personal Travel,Eco,1127,2,5,2,1,2,2,2,2,3,3,5,4,4,2,0
neutral or dissatisfied,Female,Frequent Flyer,33,Business travel,Business,3924,4,4,4,4,4,3,4,4,4,4,4,4,4,1,0
neutral or dissatisfied,Male,Frequent Flyer,60,Personal Travel,Eco,192,3,5,0,4,3,0,3,3,3,2,5,3,5,3,26
neutral or dissatisfied,Female,Frequent Flyer,12,Business travel,Business,3974,2,1,1,1,2,2,2,2,2,2,3,3,3,2,0
neutral or dissatisfied,Female,Frequent Flyer,50,Personal Travel,Eco Plus,672,1,5,1,1,4,4,4,4,4,1,5,3,4,5,0
neutral or dissatisfied,Male,Frequent Flyer,43,Personal Travel,Eco Plus,631,2,4,2,5,2,1,1,3,5,5,5,1,4,1,381
neutral or dissatisfied,Male,Frequent Flyer,19,Personal Travel,Eco,1147,1,4,1,2,1,1,1,1,3,2,4,3,4,1,97
neutral or dissatisfied,Male,Frequent Flyer,44,Business travel,Business,425,3,5,5,5,5,3,4,3,3,4,3,4,3,3,0
neutral or dissatisfied,Female,Frequent Flyer,62,Personal Travel,Eco,342,1,3,1,3,1,3,2,5,5,1,5,3,5,1,0
neutral or dissatisfied,Male,Frequent Flyer,41,Business travel,Eco,140,4,3,3,3,4,4,4,4,1,1,3,3,4,4,0
neutral or dissatisfied,Male,Frequent Flyer,51,Personal Travel,Eco,1044,4,4,3,3,2,3,2,2,5,3,2,2,4,2,0
neutral or dissatisfied,Female,Frequent Flyer,39,Personal Travel,Eco,1190,4,4,4,1,5,4,5,5,4,3,3,3,5,5,0
neutral or dissatisfied,Female,Frequent Flyer,62,Business travel,Business,1460,2,3,3,3,4,3,4,2,2,2,2,2,2,4,111
neutral or dissatisfied,Male,Infrequent Flyer,26,Business travel,Eco,842,1,1,1,2,5,1,5,5,1,3,3,4,2,5,38
neutral or dissatisfied,Male,Infrequent Flyer,27,Business travel,Eco,675,3,3,3,3,2,3,2,2,2,2,4,2,4,2,2
neutral or dissatisfied,Female,Frequent Flyer,39,Personal Travel,Eco,369,3,4,3,1,2,3,2,2,4,3,4,2,4,2,34
neutral or dissatisfied,Female,Frequent Flyer,45,Personal Travel,Eco,1844,1,4,1,4,5,4,4,4,4,1,4,3,4,3,34
neutral or dissatisfied,Male,Frequent Flyer,64,Personal Travel,Eco,2342,1,3,1,3,2,1,2,2,1,1,3,2,3,2,0
neutral or dissatisfied,Female,Infrequent Flyer,27,Business travel,Eco,365,1,0,1,4,5,1,5,5,4,4,3,3,4,5,0
neutral or dissatisfied,Female,Frequent Flyer,66,Personal Travel,Eco,337,3,3,3,2,3,5,5,1,2,3,1,5,4,5,132
neutral or dissatisfied,Male,Infrequent Flyer,8,Business travel,Eco,4243,2,2,2,3,2,4,4,3,4,3,4,4,2,4,57
neutral or dissatisfied,Female,Infrequent Flyer,28,Business travel,Eco,427,3,0,3,4,3,3,3,3,4,2,5,4,4,3,19
neutral or dissatisfied,Female,Frequent Flyer,42,Business travel,Eco,421,2,4,4,4,3,3,4,2,2,2,2,2,2,1,0
neutral or dissatisfied,Female,Infrequent Flyer,20,Business travel,Eco,844,2,2,2,2,4,2,4,4,3,3,3,1,3,4,0
neutral or dissatisfied,Female,Frequent Flyer,42,Business travel,Business,854,1,2,2,2,3,4,3,1,1,1,1,4,1,4,94
neutral or dissatisfied,Male,Frequent Flyer,9,Personal Travel,Eco,2475,2,5,2,3,2,3,3,3,4,4,4,3,5,3,1
neutral or dissatisfied,Male,Frequent Flyer,36,Personal Travel,Eco Plus,631,3,4,4,1,1,4,1,1,3,2,4,3,5,1,0
neutral or dissatisfied,Male,Frequent Flyer,56,Business travel,Business,151,1,2,2,2,3,2,2,1,1,1,1,3,1,4,0
neutral or dissatisfied,Female,Infrequent Flyer,34,Business travel,Eco,255,3,2,3,4,5,3,5,5,4,4,3,4,3,5,5
neutral or dissatisfied,Female,Infrequent Flyer,26,Business travel,Eco,102,2,3,2,2,1,2,1,1,3,3,3,1,3,1,0
neutral or dissatisfied,Male,Frequent Flyer,37,Personal Travel,Eco,679,1,2,1,3,5,1,5,5,2,2,3,1,4,5,5
neutral or dissatisfied,Male,Frequent Flyer,61,Business travel,Business,1972,2,2,2,2,3,3,3,2,2,2,2,4,2,3,0
neutral or dissatisfied,Female,Frequent Flyer,41,Business travel,Business,297,2,3,3,3,3,2,3,2,2,2,2,4,2,1,0
neutral or dissatisfied,Female,Frequent Flyer,63,Business travel,Eco,370,3,3,5,3,3,3,4,3,3,3,3,1,3,4,0
neutral or dissatisfied,Female,Frequent Flyer,32,Personal Travel,Eco,1119,2,5,2,2,4,2,4,4,5,3,5,3,4,4,9
neutral or dissatisfied,Male,Infrequent Flyer,27,Business travel,Business,429,4,4,4,1,5,4,1,5,3,2,4,3,5,5,0
neutral or dissatisfied,Female,Infrequent Flyer,23,Business travel,Eco,594,2,5,2,3,4,2,4,4,5,2,4,5,5,4,33
neutral or dissatisfied,Female,Infrequent Flyer,26,Business travel,Business,1476,2,2,2,3,3,2,4,3,4,1,3,2,4,3,0
neutral or dissatisfied,Male,Infrequent Flyer,23,Business travel,Eco,362,4,0,4,3,1,4,1,1,5,4,4,4,4,1,14
neutral or dissatisfied,Female,Frequent Flyer,22,Personal Travel,Eco,1592,1,5,1,5,4,1,4,4,3,5,3,5,5,4,2
neutral or dissatisfied,Male,Frequent Flyer,25,Business travel,Business,2041,1,2,2,2,1,1,1,1,1,3,3,1,3,1,25
neutral or dissatisfied,Male,Frequent Flyer,67,Personal Travel,Eco,563,3,4,3,3,1,3,1,1,5,5,4,4,4,1,2
neutral or dissatisfied,Female,Frequent Flyer,43,Personal Travel,Eco,967,2,4,2,1,3,4,4,4,4,2,4,5,4,4,44
neutral or dissatisfied,Female,Frequent Flyer,8,Business travel,Eco Plus,802,1,2,5,2,1,1,1,1,1,4,3,2,3,1,0
neutral or dissatisfied,Male,Frequent Flyer,60,Personal Travel,Eco,1024,1,4,1,3,4,1,1,4,1,3,4,1,4,4,11
neutral or dissatisfied,Female,Frequent Flyer,55,Personal Travel,Eco,73,3,5,3,1,3,2,1,1,1,3,1,4,1,5,1
neutral or dissatisfied,Male,Frequent Flyer,57,Business travel,Eco Plus,406,2,4,4,4,2,2,2,2,4,3,4,1,4,2,0
neutral or dissatisfied,Female,Frequent Flyer,56,Personal Travel,Eco,469,3,4,3,2,3,5,5,5,5,3,5,5,5,3,0
neutral or dissatisfied,Female,Frequent Flyer,39,Personal Travel,Eco,461,2,5,2,4,5,2,5,5,2,3,3,2,4,5,0
neutral or dissatisfied,Male,Infrequent Flyer,20,Business travel,Eco,1234,4,4,4,3,5,4,5,5,3,3,4,3,4,5,0
neutral or dissatisfied,Male,Frequent Flyer,30,Personal Travel,Eco,985,2,3,1,4,5,1,5,5,2,2,3,1,4,5,11
neutral or dissatisfied,Male,Infrequent Flyer,42,Business travel,Business,452,2,2,2,3,3,2,3,3,5,3,5,3,4,3,14
neutral or dissatisfied,Male,Frequent Flyer,50,Personal Travel,Eco,227,3,5,3,3,5,3,3,5,4,5,5,5,4,5,0
neutral or dissatisfied,Female,Frequent Flyer,38,Business travel,Eco Plus,116,1,2,2,2,1,2,1,1,3,1,4,3,3,1,0
neutral or dissatisfied,Male,Frequent Flyer,31,Personal Travel,Eco Plus,1126,3,4,3,3,4,3,4,4,4,4,4,3,4,4,0
neutral or dissatisfied,Female,Frequent Flyer,61,Personal Travel,Eco,306,2,4,2,5,3,5,5,1,1,2,1,3,1,4,0
neutral or dissatisfied,Female,Infrequent Flyer,32,Business travel,Business,985,4,4,4,3,2,4,2,2,5,5,4,4,5,2,5
neutral or dissatisfied,Female,Frequent Flyer,66,Personal Travel,Business,370,2,1,2,3,3,3,4,2,2,2,5,4,2,3,0
neutral or dissatisfied,Female,Frequent Flyer,32,Personal Travel,Eco,731,3,4,3,2,5,3,5,5,4,4,4,4,3,5,3
neutral or dissatisfied,Female,Infrequent Flyer,22,Business travel,Eco,679,3,3,3,2,4,3,4,4,2,4,4,2,4,4,0
neutral or dissatisfied,Male,Frequent Flyer,49,Personal Travel,Eco,862,3,4,3,4,3,3,3,3,5,4,5,3,5,3,86
neutral or dissatisfied,Male,Frequent Flyer,42,Business travel,Eco,447,3,2,3,2,3,3,3,3,4,1,3,4,2,3,30
neutral or dissatisfied,Female,Frequent Flyer,42,Personal Travel,Eco,700,1,3,1,2,1,3,1,2,2,1,2,4,2,1,0
neutral or dissatisfied,Female,Frequent Flyer,46,Personal Travel,Eco,581,2,5,2,2,5,5,4,2,2,2,2,3,2,5,2
neutral or dissatisfied,Female,Frequent Flyer,43,Business travel,Business,3761,2,4,4,4,5,4,3,2,2,2,2,3,2,1,0
neutral or dissatisfied,Female,Frequent Flyer,25,Business travel,Business,2606,2,2,2,2,2,1,2,2,2,4,3,1,3,2,0
neutral or dissatisfied,Male,Infrequent Flyer,25,Business travel,Eco,1074,3,2,2,5,2,2,3,2,4,1,4,1,2,2,0
neutral or dissatisfied,Male,Frequent Flyer,63,Personal Travel,Eco,2136,3,4,3,4,2,3,2,2,2,2,3,4,3,2,1
neutral or dissatisfied,Male,Frequent Flyer,46,Personal Travel,Eco,1797,2,5,2,5,4,2,4,4,2,5,5,4,3,4,0
neutral or dissatisfied,Male,Frequent Flyer,50,Personal Travel,Eco,2402,3,5,3,1,3,1,3,3,4,5,5,3,3,3,13
neutral or dissatisfied,Female,Frequent Flyer,9,Business travel,Business,2454,4,2,5,2,4,4,4,4,1,1,3,3,4,4,10
neutral or dissatisfied,Male,Infrequent Flyer,36,Business travel,Eco,1119,3,3,3,3,5,3,5,5,1,4,3,4,2,5,0
neutral or dissatisfied,Female,Frequent Flyer,53,Personal Travel,Eco,626,3,5,3,5,2,5,4,5,5,3,5,3,5,4,0
neutral or dissatisfied,Female,Frequent Flyer,44,Business travel,Eco,2136,2,2,4,4,2,2,2,2,5,2,2,2,2,2,0
neutral or dissatisfied,Male,Frequent Flyer,70,Personal Travel,Eco,472,2,5,2,1,2,2,3,2,4,4,4,3,5,2,3
neutral or dissatisfied,Female,Frequent Flyer,27,Personal Travel,Eco,106,2,2,2,4,2,2,2,2,4,3,4,4,4,2,0
neutral or dissatisfied,Male,Frequent Flyer,47,Personal Travel,Eco,2704,3,5,3,3,4,3,4,4,4,1,3,1,4,4,0
neutral or dissatisfied,Female,Frequent Flyer,13,Personal Travel,Business,1097,3,1,3,2,3,3,3,3,2,3,3,4,3,3,18
neutral or dissatisfied,Male,Frequent Flyer,16,Personal Travel,Eco,562,3,5,2,2,2,2,2,2,5,2,4,3,5,2,0
neutral or dissatisfied,Female,Frequent Flyer,16,Business travel,Business,3750,3,3,3,3,3,2,3,3,1,1,4,4,4,3,92
neutral or dissatisfied,Male,Frequent Flyer,32,Personal Travel,Eco,507,2,1,2,3,4,2,4,4,4,3,3,3,4,4,5
neutral or dissatisfied,Female,Infrequent Flyer,24,Business travel,Eco Plus,391,3,5,3,2,3,3,3,3,5,2,5,2,5,3,0
neutral or dissatisfied,Male,Frequent Flyer,17,Personal Travel,Eco,1149,3,1,2,3,2,2,2,2,1,3,4,1,4,2,0
neutral or dissatisfied,Female,Frequent Flyer,64,Personal Travel,Eco,325,2,3,2,4,3,3,3,1,1,2,1,2,1,1,25
neutral or dissatisfied,Male,Frequent Flyer,53,Business travel,Business,867,4,5,5,5,1,3,2,4,4,4,4,2,4,3,17
neutral or dissatisfied,Female,Infrequent Flyer,36,Business travel,Business,328,3,3,3,2,2,3,2,2,5,5,5,5,5,2,0
neutral or dissatisfied,Female,Infrequent Flyer,37,Business travel,Eco,202,3,1,3,3,3,3,1,3,2,1,4,1,4,3,13
neutral or dissatisfied,Male,Frequent Flyer,37,Business travel,Eco,290,3,5,5,5,3,3,3,3,4,3,2,1,3,3,24
neutral or dissatisfied,Female,Infrequent Flyer,22,Business travel,Business,164,1,2,1,3,4,1,4,4,1,1,3,2,3,4,3
neutral or dissatisfied,Female,Frequent Flyer,53,Personal Travel,Eco Plus,1587,2,5,2,2,3,5,4,5,5,2,5,5,5,3,50
neutral or dissatisfied,Male,Infrequent Flyer,18,Business travel,Eco,442,2,1,1,4,2,1,2,2,3,3,3,2,4,2,8
neutral or dissatisfied,Male,Frequent Flyer,55,Personal Travel,Eco,594,2,1,2,3,3,2,4,3,3,5,3,1,3,3,1
neutral or dissatisfied,Female,Frequent Flyer,44,Personal Travel,Eco,356,1,5,1,2,5,4,5,5,5,1,5,2,5,4,0
neutral or dissatisfied,Male,Frequent Flyer,9,Personal Travel,Eco,1046,3,2,2,3,1,2,5,1,2,1,2,1,3,1,1
neutral or dissatisfied,Female,Frequent Flyer,9,Personal Travel,Eco,200,3,3,3,3,1,3,1,1,3,5,4,4,4,1,0
neutral or dissatisfied,Female,Frequent Flyer,30,Business travel,Eco Plus,272,2,3,3,3,2,3,2,2,4,3,3,1,4,2,0
neutral or dissatisfied,Male,Frequent Flyer,43,Personal Travel,Eco,946,4,3,4,1,1,4,1,1,5,3,1,3,3,1,29
neutral or dissatisfied,Female,Frequent Flyer,24,Business travel,Business,347,3,1,1,1,3,3,3,3,4,2,4,3,3,3,0
neutral or dissatisfied,Female,Frequent Flyer,40,Personal Travel,Eco,746,2,4,2,4,5,2,5,5,4,5,4,4,4,5,14
neutral or dissatisfied,Female,Frequent Flyer,66,Personal Travel,Eco,1249,2,4,2,3,3,5,4,3,3,2,3,4,3,4,46
neutral or dissatisfied,Female,Frequent Flyer,43,Business travel,Business,409,4,4,4,4,3,3,3,4,4,4,4,1,4,3,0
neutral or dissatisfied,Female,Frequent Flyer,46,Personal Travel,Eco Plus,2422,2,3,2,2,2,2,2,1,1,3,4,2,4,2,92
neutral or dissatisfied,Male,Frequent Flyer,59,Business travel,Eco,304,3,5,5,5,3,3,3,3,1,1,3,4,3,3,4
neutral or dissatisfied,Male,Frequent Flyer,13,Personal Travel,Eco,2640,2,4,2,5,2,4,4,5,4,4,4,4,3,4,5
neutral or dissatisfied,Female,Infrequent Flyer,14,Business travel,Eco,1303,4,4,4,5,1,4,1,1,5,3,4,3,4,1,32
neutral or dissatisfied,Male,Frequent Flyer,47,Personal Travel,Eco,391,3,5,3,3,1,3,1,1,1,4,4,5,3,1,11
neutral or dissatisfied,Female,Infrequent Flyer,30,Business travel,Business,1522,3,3,3,4,5,3,5,5,5,3,4,3,4,5,0
neutral or dissatisfied,Male,Infrequent Flyer,25,Business travel,Business,523,2,0,2,1,4,2,4,4,4,3,4,3,4,4,0
neutral or dissatisfied,Male,Frequent Flyer,33,Personal Travel,Eco,2994,3,4,3,4,3,4,4,5,2,5,5,4,5,4,0
neutral or dissatisfied,Male,Frequent Flyer,45,Personal Travel,Eco,501,1,3,1,4,4,1,4,4,3,3,3,5,5,4,116
neutral or dissatisfied,Male,Infrequent Flyer,27,Business travel,Business,214,2,2,2,3,4,2,5,4,5,3,4,4,4,4,37
neutral or dissatisfied,Female,Infrequent Flyer,30,Business travel,Eco,1069,2,2,2,4,5,2,5,5,2,4,3,1,3,5,28
neutral or dissatisfied,Male,Frequent Flyer,55,Personal Travel,Eco,1598,4,1,5,3,2,5,2,2,2,5,1,2,3,2,41
neutral or dissatisfied,Male,Frequent Flyer,20,Personal Travel,Eco,404,3,4,3,1,3,3,3,4,5,4,4,3,5,3,97
neutral or dissatisfied,Female,Frequent Flyer,7,Personal Travel,Eco,463,3,5,3,2,5,3,5,5,4,5,4,5,4,5,0
neutral or dissatisfied,Male,Infrequent Flyer,25,Business travel,Eco Plus,200,3,0,3,1,4,3,1,4,4,3,5,3,4,4,0
neutral or dissatisfied,Female,Frequent Flyer,48,Personal Travel,Eco,283,1,2,4,3,2,4,3,4,4,4,4,2,4,1,9
neutral or dissatisfied,Female,Frequent Flyer,34,Personal Travel,Business,405,1,4,1,5,4,5,4,2,2,1,2,5,2,4,4
neutral or dissatisfied,Male,Frequent Flyer,55,Business travel,Eco Plus,190,2,1,1,1,2,2,2,2,4,4,3,2,3,2,18
neutral or dissatisfied,Male,Frequent Flyer,13,Personal Travel,Eco,283,2,1,2,3,3,2,5,3,1,5,4,4,4,3,52
neutral or dissatisfied,Female,Infrequent Flyer,39,Business travel,Business,177,1,1,1,4,1,1,1,1,4,1,2,5,3,1,0
neutral or dissatisfied,Female,Frequent Flyer,16,Personal Travel,Eco,1947,3,5,3,4,1,3,1,1,5,2,3,4,5,1,6
neutral or dissatisfied,Female,Frequent Flyer,70,Personal Travel,Eco,862,1,4,1,4,2,4,4,2,2,1,2,4,2,2,0
neutral or dissatisfied,Male,Frequent Flyer,35,Business travel,Business,1847,4,5,5,5,2,4,3,3,3,3,4,4,3,1,81
neutral or dissatisfied,Female,Frequent Flyer,30,Business travel,Business,1538,2,4,4,4,2,2,2,2,1,2,2,3,3,2,90
neutral or dissatisfied,Male,Frequent Flyer,61,Personal Travel,Eco,2611,2,4,2,2,2,5,5,2,3,3,1,5,4,5,0
neutral or dissatisfied,Male,Infrequent Flyer,36,Business travel,Eco,447,3,3,3,4,1,3,1,1,3,1,4,4,4,1,4
neutral or dissatisfied,Male,Infrequent Flyer,16,Business travel,Eco,838,3,3,3,3,1,3,1,1,3,5,5,4,5,1,65
neutral or dissatisfied,Male,Infrequent Flyer,33,Business travel,Eco,399,3,0,3,2,1,3,1,1,3,1,4,4,2,1,0
neutral or dissatisfied,Male,Frequent Flyer,46,Business travel,Eco,1197,1,2,2,2,1,1,1,4,3,3,3,1,1,1,260
neutral or dissatisfied,Male,Frequent Flyer,49,Personal Travel,Eco,1460,2,4,2,3,2,2,2,2,5,2,3,4,4,2,6
neutral or dissatisfied,Female,Frequent Flyer,58,Personal Travel,Eco,337,2,4,2,2,5,5,4,1,1,2,1,4,1,4,19
neutral or dissatisfied,Male,Frequent Flyer,10,Personal Travel,Eco,1020,1,4,1,2,3,1,3,3,1,2,5,4,1,3,57
neutral or dissatisfied,Male,Infrequent Flyer,23,Business travel,Eco,479,1,4,1,3,2,1,2,2,4,5,5,4,5,2,33
neutral or dissatisfied,Male,Frequent Flyer,57,Business travel,Business,2079,4,1,1,1,2,4,3,4,4,4,4,4,4,4,30
neutral or dissatisfied,Male,Frequent Flyer,60,Business travel,Business,2840,2,2,2,2,5,4,4,2,2,2,2,4,2,3,0
neutral or dissatisfied,Female,Frequent Flyer,44,Personal Travel,Eco Plus,200,1,3,1,3,2,3,4,3,3,1,3,2,3,4,0
neutral or dissatisfied,Male,Frequent Flyer,25,Business travel,Business,3037,3,5,5,5,3,3,3,3,3,2,2,1,3,3,15
neutral or dissatisfied,Male,Frequent Flyer,15,Personal Travel,Eco,641,3,4,3,3,1,3,1,1,3,4,3,1,3,1,0
neutral or dissatisfied,Female,Frequent Flyer,41,Personal Travel,Business,594,3,5,3,4,4,5,4,1,1,3,1,4,1,4,0
neutral or dissatisfied,Male,Frequent Flyer,33,Personal Travel,Business,216,2,0,2,1,5,2,1,5,4,2,5,4,4,5,0
neutral or dissatisfied,Male,Frequent Flyer,18,Personal Travel,Eco,304,2,5,2,4,1,2,1,1,5,4,5,3,4,1,0
neutral or dissatisfied,Female,Frequent Flyer,31,Business travel,Business,425,2,3,3,3,2,2,2,2,4,3,3,4,4,2,0
neutral or dissatisfied,Female,Infrequent Flyer,32,Business travel,Business,228,2,2,2,5,4,2,5,4,5,4,5,3,5,4,48
neutral or dissatisfied,Female,Frequent Flyer,10,Personal Travel,Eco,1096,2,2,2,3,4,2,4,4,1,3,3,3,4,4,0
neutral or dissatisfied,Male,Infrequent Flyer,22,Business travel,Eco,257,2,3,2,2,5,2,2,5,1,2,2,4,3,5,55
neutral or dissatisfied,Male,Frequent Flyer,37,Personal Travel,Eco,738,3,2,3,4,3,3,3,3,2,4,4,1,3,3,34
neutral or dissatisfied,Female,Frequent Flyer,23,Personal Travel,Eco,1065,2,4,2,3,2,2,2,2,4,3,5,4,5,2,12
neutral or dissatisfied,Female,Frequent Flyer,53,Personal Travel,Eco,236,1,4,1,2,1,3,5,3,3,1,3,1,3,3,2
neutral or dissatisfied,Male,Infrequent Flyer,25,Business travel,Eco,563,2,3,3,5,3,3,3,3,4,1,5,2,1,3,55
neutral or dissatisfied,Female,Frequent Flyer,60,Personal Travel,Eco,109,2,5,2,4,2,5,4,3,3,2,3,4,3,5,0
neutral or dissatisfied,Female,Frequent Flyer,62,Personal Travel,Eco,507,3,4,3,3,5,4,4,3,3,3,3,3,3,2,9
neutral or dissatisfied,Female,Frequent Flyer,28,Personal Travel,Eco,874,3,4,3,3,1,3,1,1,1,3,2,3,4,1,25
neutral or dissatisfied,Female,Frequent Flyer,69,Personal Travel,Eco,264,3,2,3,4,1,3,3,3,3,3,3,4,3,3,0
neutral or dissatisfied,Male,Frequent Flyer,28,Personal Travel,Eco Plus,351,3,3,3,2,5,3,5,5,1,1,3,2,2,5,0
neutral or dissatisfied,Female,Infrequent Flyer,29,Business travel,Eco,305,2,4,2,4,5,2,5,5,2,4,3,2,3,5,39
neutral or dissatisfied,Male,Frequent Flyer,62,Personal Travel,Eco,313,2,4,2,5,1,2,5,1,5,3,4,3,5,1,0
neutral or dissatisfied,Female,Frequent Flyer,17,Personal Travel,Eco,687,2,4,2,5,5,2,5,5,2,5,1,3,4,5,0
neutral or dissatisfied,Male,Frequent Flyer,61,Personal Travel,Business,228,3,5,3,3,2,5,4,4,4,3,4,4,4,4,0
neutral or dissatisfied,Female,Frequent Flyer,59,Business travel,Eco,522,2,4,4,4,1,4,3,2,2,2,2,3,2,4,0
neutral or dissatisfied,Male,Frequent Flyer,50,Business travel,Business,2391,1,2,2,2,1,1,1,2,2,3,3,1,2,1,120
neutral or dissatisfied,Male,Frequent Flyer,19,Personal Travel,Eco,1562,4,4,4,2,4,4,4,4,5,2,4,4,5,4,0
neutral or dissatisfied,Female,Frequent Flyer,33,Business travel,Business,406,2,4,4,4,3,3,4,2,2,2,2,1,2,4,31
neutral or dissatisfied,Male,Frequent Flyer,30,Personal Travel,Eco,682,2,2,2,3,1,2,5,1,3,4,3,4,3,1,61
neutral or dissatisfied,Male,Frequent Flyer,25,Business travel,Business,1846,2,5,5,5,2,2,2,2,2,5,4,4,3,2,0
neutral or dissatisfied,Male,Infrequent Flyer,25,Business travel,Eco,761,2,2,2,4,4,2,4,4,2,3,4,1,4,4,13
neutral or dissatisfied,Female,Infrequent Flyer,57,Business travel,Eco,158,2,3,2,3,1,2,1,1,4,1,3,1,3,1,0
neutral or dissatisfied,Female,Frequent Flyer,27,Business travel,Business,2380,2,5,2,5,2,2,2,2,2,1,3,2,2,2,0
neutral or dissatisfied,Male,Frequent Flyer,19,Business travel,Eco Plus,247,2,2,1,1,2,2,2,2,1,4,4,2,4,2,31
neutral or dissatisfied,Male,Infrequent Flyer,32,Business travel,Business,363,2,2,2,4,4,2,4,4,2,5,3,1,4,4,0
neutral or dissatisfied,Female,Frequent Flyer,43,Business travel,Business,2261,3,2,2,2,3,3,3,3,3,3,3,2,3,2,27
neutral or dissatisfied,Female,Frequent Flyer,34,Personal Travel,Eco,356,2,4,2,4,1,2,1,1,3,4,4,3,4,1,14
neutral or dissatisfied,Female,Frequent Flyer,34,Personal Travel,Eco,550,4,0,4,1,3,4,3,3,3,5,4,3,4,3,0
neutral or dissatisfied,Female,Frequent Flyer,61,Personal Travel,Eco,631,3,4,3,2,5,5,4,4,4,3,4,4,4,3,0
neutral or dissatisfied,Male,Frequent Flyer,8,Personal Travel,Eco,746,2,4,2,4,5,2,5,5,4,5,4,4,5,5,10
neutral or dissatisfied,Male,Frequent Flyer,44,Business travel,Business,2444,4,4,4,4,5,4,3,4,4,4,4,4,4,1,0
neutral or dissatisfied,Male,Frequent Flyer,37,Personal Travel,Eco Plus,1590,2,1,2,2,1,2,1,1,2,4,3,4,3,1,12
neutral or dissatisfied,Female,Frequent Flyer,55,Business travel,Business,883,2,4,4,4,3,3,4,2,2,2,2,1,2,3,0
neutral or dissatisfied,Female,Frequent Flyer,46,Personal Travel,Eco,140,4,4,4,5,5,1,2,4,4,4,4,3,4,4,64
neutral or dissatisfied,Female,Frequent Flyer,33,Personal Travel,Eco,679,2,4,2,1,1,2,1,1,5,2,5,3,5,1,22
neutral or dissatisfied,Female,Frequent Flyer,29,Business travel,Business,1400,3,2,2,2,3,3,3,3,1,1,3,2,3,3,62
neutral or dissatisfied,Male,Frequent Flyer,13,Personal Travel,Eco Plus,458,3,4,3,3,5,3,5,5,4,4,4,3,4,5,12
neutral or dissatisfied,Female,Frequent Flyer,54,Personal Travel,Eco Plus,406,3,5,3,1,2,5,5,5,5,3,5,4,5,4,0
neutral or dissatisfied,Female,Frequent Flyer,10,Personal Travel,Eco,2994,1,2,1,3,1,3,3,3,2,4,3,3,1,3,0
neutral or dissatisfied,Male,Frequent Flyer,51,Personal Travel,Eco,643,2,4,2,3,1,2,1,1,4,4,4,5,4,1,0
neutral or dissatisfied,Male,Frequent Flyer,33,Personal Travel,Business,184,3,4,3,3,1,3,1,1,3,2,4,4,3,1,11
